DD_TABLE_ALIAS  DD_KEY_NUMBER   DD_SEGMENT_SEQ  DD_SEGMENT_COL  DD_SEGMENT_SORT DD_SEGMENT_POS  DD_SEGMENT_OFF  DD_SEGMENT_LEN  
ADS_DOCUMENTS   	02	03	DOC_DATE        					
ADS_DOCUMENTS   	02	04	DOC_TIME        					
ADS_DOCUMENTS   	02	05	DOC_NO          					
ADS_DOCUMENTS   	02	06	DOC_EXTENSION   					
ADS_DOCUMENTS   	03	01	FIRM_ID         					
ADS_DOCUMENTS   	03	02	DOC_GROUP       					
ADS_DOCUMENTS   	03	03	DOC_DATE        					
ADS_DOCUMENTS   	03	04	DOC_TIME        					
ADS_DOCUMENTS   	03	05	DOC_NO          					
ADS_DOCUMENTS   	03	06	DOC_EXTENSION   					
ADS_DOC_GROUP   	00	01	DOC_GROUP       					
ADS_DOC_SETTINGS	00	01	DD_TABLE_ALIAS  					
ADS_GENERAL     	00	01	RECORD_ID_G     		0	0	0	
ADS_GENERAL     	00	02	TERMINAL_ID     		0	0	0	
ADS_MASKS       	00	01	FIRM_ID         					
ADS_MASKS       	00	02	DD_SYSTEM_ID    					
ADS_MASKS       	00	03	DD_MASK_TYPE    					
ADS_MESSAGES    	00	01	LANGUAGE_ID     					
ADS_MESSAGES    	00	02	MSG_ID          					
ADS_MESSAGES    	01	01	MSG_ID          					
ADS_MESSAGES    	01	02	LANGUAGE_ID     					
ADS_SELOPTS     	00	01	DD_TABLE_ALIAS  					
ADS_SELOPTS     	00	02	SELECTION_ID    					
ADS_SEQUENCES   	00	01	FIRM_ID         					
ADS_SEQUENCES   	00	02	SEQ_ID          					
ADS_SYSINFO     	00	01	USER_ID         					
ADS_SYSTEM      	00	01	RECORD_ID_S     		0	0	0	
ADS_TERMINAL    	00	01	RECORD_ID_T     		0	0	0	
ADS_TERMINAL    	00	02	TERMINAL_ID     		0	0	0	
ADS_USERLOG     	00	01	USER_ID         					
ADS_USERLOG     	00	02	TRANS_DATE_START					
ADS_USERLOG     	00	03	TRANS_TIME_START					
ADS_USERLOG     	01	01	USER_ID         					
ADS_USERLOG     	01	02	PROCESS_NO      					
ADS_USERLOG     	01	03	TRANS_DATE_START					
ADS_USERLOG     	01	04	TRANS_TIME_START					
ADS_USERLOG_PRG 	00	01	USER_ID         					
ADS_USERLOG_PRG 	00	02	TRANS_DATE_START					
ADS_USERLOG_PRG 	00	03	TRANS_TIME_START					
ADT_AUDITLOG    	00	01	USER_ID         					
ADT_AUDITLOG    	00	02	AUDIT_DATE      					
ADT_AUDITLOG    	00	03	AUDIT_TIME      					
ADT_AUDITLOG    	00	04	DD_TABLE_ALIAS  					
ADT_AUDITLOG    	00	05	AUDIT_RECORD    					
ADT_AUDITLOG    	00	06	DD_TVAR_NAME    					
ADT_AUDITLOG    	01	01	DD_TABLE_ALIAS  					
ADT_AUDITLOG    	01	02	AUDIT_RECORD    					
ADT_AUDITLOG    	01	03	AUDIT_DATE      					
ADT_AUDITLOG    	01	04	AUDIT_TIME      					
ADT_AUDITLOG    	01	05	DD_TVAR_NAME    					
ADT_AUDITLOG    	01	06	USER_ID         					
ADT_TRANSACTIONS	00	01	FIRM_ID         					
ADT_TRANSACTIONS	00	02	TRANS_ID        					
ADX_PROCFILE    	00	01	FILE_NAME       		0	0	0	
ADX_PROCFILE    	00	02	PROCESS_ID      		0	0	0	
ADX_PROCPROG    	00	01	PROGRAM_NAME    		0	0	0	
ADX_PROCPROG    	00	02	PROCESS_ID      		0	0	0	
APC_DISTRIBUTION	00	01	FIRM_ID         					
APC_DISTRIBUTION	00	02	RECORD_ID_B     					
APC_DISTRIBUTION	00	03	AP_DIST_CODE    					
APC_PAYMENTGROUP	00	01	FIRM_ID         		0	0	0	
APC_PAYMENTGROUP	00	02	RECORD_ID_D     		0	0	0	
APC_PAYMENTGROUP	00	03	PAYMENT_GRP     		0	0	0	
APC_TERMSCODE   	00	01	FIRM_ID         		0	0	0	
APC_TERMSCODE   	00	02	RECORD_ID_C     		0	0	0	
APC_TERMSCODE   	00	03	TERMS_CODE      		0	0	0	
APC_TYPECODE    	00	01	FIRM_ID         		0	0	0	
APC_TYPECODE    	00	02	RECORD_ID_A     		0	0	0	
APC_TYPECODE    	00	03	AP_TYPE         		0	0	0	
APE_CHECKS      	00	01	FIRM_ID         		0	0	0	
APE_CHECKS      	00	02	AP_TYPE         		0	0	0	
APE_CHECKS      	00	03	VENDOR_ID       		0	0	0	
APE_CHECKS      	00	04	AP_INV_NO       		0	0	0	
APE_INVOICEDET  	00	01	FIRM_ID         		0	0	0	
APE_INVOICEDET  	00	02	AP_TYPE         		0	0	0	
APE_INVOICEDET  	00	03	VENDOR_ID       		0	0	0	
APE_INVOICEDET  	00	04	AP_INV_NO       		0	0	0	
APE_INVOICEDET  	00	05	SEQUENCE_NUM    		0	0	0	
APE_INVOICEHDR  	00	01	FIRM_ID         		0	0	0	
APE_INVOICEHDR  	00	02	AP_TYPE         		0	0	0	
APE_INVOICEHDR  	00	03	VENDOR_ID       		0	0	0	
APE_INVOICEHDR  	00	04	AP_INV_NO       		0	0	0	
APE_INVOICEHDR  	00	05	SEQUENCE_00     		0	0	0	
APE_MANCHECKDET 	00	01	FIRM_ID         		0	0	0	
APE_MANCHECKDET 	00	02	AP_TYPE         		0	0	0	
APE_MANCHECKDET 	00	03	CHECK_NO        		0	0	0	
APE_MANCHECKDET 	00	04	VENDOR_ID       		0	0	0	
APE_MANCHECKDET 	00	05	AP_INV_NO       		0	0	0	
APE_MANCHECKDET 	00	06	SEQUENCE_00     		0	0	0	
APE_MANCHECKDIST	00	01	FIRM_ID         		0	0	0	
APE_MANCHECKDIST	00	02	AP_TYPE         		0	0	0	
APE_MANCHECKDIST	00	03	CHECK_NO        		0	0	0	
APE_MANCHECKDIST	00	04	VENDOR_ID       		0	0	0	
APE_MANCHECKDIST	00	05	AP_INV_NO       		0	0	0	
APE_MANCHECKDIST	00	06	SEQUENCE_NUM    		0	0	0	
APE_MANCHECKHDR 	00	01	FIRM_ID         		0	0	0	
APE_MANCHECKHDR 	00	02	AP_TYPE         		0	0	0	
APE_MANCHECKHDR 	00	03	CHECK_NO        		0	0	0	
APE_MANCHECKHDR 	00	04	VENDOR_ID       					
APE_OPENCHECKS  	00	01	FIRM_ID         					
APE_OPENCHECKS  	00	02	AP_TYPE         					
APE_OPENCHECKS  	00	03	CHECK_NO        					
APE_OPENCHECKS  	00	04	VENDOR_ID       					
APE_OPENCHECKS  	00	05	AP_INV_NO       					
APE_RECURRINGDET	00	01	FIRM_ID         		0	0	0	
APE_RECURRINGDET	00	02	AP_TYPE         		0	0	0	
APE_RECURRINGDET	00	03	VENDOR_ID       		0	0	0	
APE_RECURRINGDET	00	04	AP_INV_NO       		0	0	0	
APE_RECURRINGDET	00	05	SEQUENCE_NUM    		0	0	0	
APE_RECURRINGHDR	00	01	FIRM_ID         		0	0	0	
APE_RECURRINGHDR	00	02	AP_TYPE         		0	0	0	
APE_RECURRINGHDR	00	03	VENDOR_ID       		0	0	0	
APE_RECURRINGHDR	00	04	AP_INV_NO       		0	0	0	
APE_RECURRINGHDR	00	05	SEQUENCE_00     		0	0	0	
APE_SELECTIONDET	00	01	FIRM_ID         		0	0	0	
APE_SELECTIONDET	00	02	PAY_SEL_SEQ     		0	0	0	
APE_SELECTIONHDR	00	01	FIRM_ID         		0	0	0	
APM_EMAILFAX    	00	01	FIRM_ID         		0	0	0	
APM_EMAILFAX    	00	02	VENDOR_ID       		0	0	0	
APM_RPTCTRL     	00	01	FIRM_ID         		0	0	0	
APM_RPTCTRL     	00	02	VENDOR_ID       		0	0	0	
APM_RPTCTRL     	00	03	REPORT_NAME     		0	0	0	
APM_TEMPVEND    	00	01	FIRM_ID         		0	0	0	
APM_TEMPVEND    	00	02	AP_TYPE         		0	0	0	
APM_TEMPVEND    	00	03	AP_INV_NO       		0	0	0	
APM_VENDADDR    	00	01	FIRM_ID         		0	0	0	
APM_VENDADDR    	00	02	VENDOR_ID       		0	0	0	
APM_VENDADDR    	00	03	PURCH_ADDR      		0	0	0	
APM_VENDCMTS    	00	01	FIRM_ID         		0	0	0	
APM_VENDCMTS    	00	02	VENDOR_ID       		0	0	0	
APM_VENDCMTS    	00	03	SEQUENCE_NUM    		0	0	0	
APM_VENDHIST    	00	01	FIRM_ID         		0	0	0	
APM_VENDHIST    	00	02	VENDOR_ID       		0	0	0	
APM_VENDHIST    	00	03	AP_TYPE         		0	0	0	
APM_VENDMAST    	00	01	FIRM_ID         		0	0	0	
APM_VENDMAST    	00	02	VENDOR_ID       		0	0	0	
APM_VENDMAST    	01	01	FIRM_ID         					
APM_VENDMAST    	01	02	VENDOR_NAME     					
APM_VENDMAST    	01	03	VENDOR_ID       					
APM_VENDMAST    	02	01	FIRM_ID         					
APM_VENDMAST    	02	02	ALT_SEQUENCE    					
APM_VENDMAST    	02	03	VENDOR_ID       					
APM_VENDMAST    	03	01	FIRM_ID         					
APM_VENDMAST    	03	02	ZIP_CODE        					
APM_VENDMAST    	03	03	VENDOR_ID       					
APM_VENDPAY2    	00	01	FIRM_ID         		0	0	0	
APM_VENDPAY2    	00	02	VENDOR_ID       		0	0	0	
APM_VENDREPL    	00	01	FIRM_ID         		0	0	0	
APM_VENDREPL    	00	02	VENDOR_ID       		0	0	0	
APM_VENDREPL    	00	03	BUYER_CODE      		0	0	0	
APS_NUMBERS     	00	01	FIRM_ID         		0	0	0	
APS_NUMBERS     	00	02	RECORD_ID_N     		0	0	0	
APS_PARAMS      	00	01	FIRM_ID         		0	0	0	
APS_PARAMS      	00	02	AP              		0	0	0	
APS_PARAMS      	00	03	SEQUENCE_00     		0	0	0	
APS_REPORT      	00	01	FIRM_ID         		0	0	0	
APS_REPORT      	00	02	AP              		0	0	0	
APS_REPORT      	00	03	SEQUENCE_02     		0	0	0	
APT_CHECKHISTORY	00	01	FIRM_ID         		0	0	0	
APT_CHECKHISTORY	00	02	AP_TYPE         		0	0	0	
APT_CHECKHISTORY	00	03	CHECK_NO        		0	0	0	
APT_CHECKHISTORY	00	04	VENDOR_ID       		0	0	0	
APT_CHECKHISTORY	00	05	AP_INV_NO       		0	0	0	
APT_INVDETAIL   	00	01	FIRM_ID         		0	0	0	
APT_INVDETAIL   	00	02	AP_TYPE         		0	0	0	
APT_INVDETAIL   	00	03	VENDOR_ID       		0	0	0	
APT_INVDETAIL   	00	04	AP_INV_NO       		0	0	0	
APT_INVDETAIL   	00	05	SEQUENCE_NUM    		0	0	0	
APT_INVOICEDATE 	00	01	FIRM_ID         		0	0	0	
APT_INVOICEDATE 	00	02	RECORD_ID_A     		0	0	0	
APT_INVOICEDATE 	00	03	AP_TYPE         		0	0	0	
APT_INVOICEDATE 	00	04	VENDOR_ID       		0	0	0	
APT_INVOICEDATE 	00	05	INVOICE_DATE    		0	0	0	
APT_INVOICEDATE 	00	06	AP_INV_NO       		0	0	0	
APT_INVOICEDET  	00	01	FIRM_ID         		0	0	0	
APT_INVOICEDET  	00	02	AP_TYPE         		0	0	0	
APT_INVOICEDET  	00	03	VENDOR_ID       		0	0	0	
APT_INVOICEDET  	00	04	AP_INV_NO       		0	0	0	
APT_INVOICEDET  	00	05	SEQUENCE_NUM    		0	0	0	
APT_INVOICEDIST 	00	01	FIRM_ID         		0	0	0	
APT_INVOICEDIST 	00	02	AP_TYPE         		0	0	0	
APT_INVOICEDIST 	00	03	VENDOR_ID       		0	0	0	
APT_INVOICEDIST 	00	04	INVOICE_TYPE    		0	0	0	
APT_INVOICEDIST 	00	05	REFERENCE       		0	0	0	
APT_INVOICEDIST 	00	06	GL_ACCOUNT      		0	0	0	
APT_INVOICEDIST 	00	07	ACCTING_DATE    		0	0	0	
APT_INVOICEHDR  	00	01	FIRM_ID         		0	0	0	
APT_INVOICEHDR  	00	02	AP_TYPE         		0	0	0	
APT_INVOICEHDR  	00	03	VENDOR_ID       		0	0	0	
APT_INVOICEHDR  	00	04	AP_INV_NO       		0	0	0	
APT_INVOICEHDR  	00	05	SEQUENCE_00     		0	0	0	
APT_INVOICEHDR  	01	01	FIRM_ID         					
APT_INVOICEHDR  	01	02	AP_TYPE         					
APT_INVOICEHDR  	01	03	VENDOR_ID       					
APT_INVOICEHDR  	01	04	INVOICE_DATE    					
APT_INVOICEHDR  	01	05	AP_INV_NO       					
APT_INVOICEHDR  	02	01	FIRM_ID         					
APT_INVOICEHDR  	02	02	AP_TYPE         					
APT_INVOICEHDR  	02	03	VENDOR_ID       					
APT_INVOICEHDR  	02	04	REFERENCE       					
APT_INVOICEHDR  	02	05	AP_INV_NO       					
APT_INVOICEHDR  	03	01	FIRM_ID         					
APT_INVOICEHDR  	03	02	AP_INV_NO       					
APT_INVOICEHDR  	03	03	AP_TYPE         					
APT_INVOICEHDR  	03	04	VENDOR_ID       					
APT_INVOICENUMB 	00	01	FIRM_ID         		0	0	0	
APT_INVOICENUMB 	00	02	RECORD_ID_C     		0	0	0	
APT_INVOICENUMB 	00	03	AP_INV_NO       		0	0	0	
APT_INVOICENUMB 	00	04	AP_TYPE         		0	0	0	
APT_INVOICENUMB 	00	05	VENDOR_ID       		0	0	0	
APT_INVOICEREF  	00	01	FIRM_ID         		0	0	0	
APT_INVOICEREF  	00	02	RECORD_ID_B     		0	0	0	
APT_INVOICEREF  	00	03	AP_TYPE         		0	0	0	
APT_INVOICEREF  	00	04	VENDOR_ID       		0	0	0	
APT_INVOICEREF  	00	05	REFERENCE       		0	0	0	
APT_INVOICEREF  	00	06	AP_INV_NO       		0	0	0	
APW_CHECKINVOICE	00	01	FIRM_ID         		0	0	0	
APW_CHECKINVOICE	00	02	AP_TYPE         		0	0	0	
APW_CHECKINVOICE	00	03	CHECK_NO        		0	0	0	
APW_CHECKPURGE  	00	01	FIRM_ID         		0	0	0	
APW_CHECKPURGE  	00	02	AP_TYPE         		0	0	0	
APW_CHECKPURGE  	00	03	CHECK_NO        		0	0	0	
APW_DISBURSEMNTS	00	01	FIRM_ID         		0	0	0	
APW_DISBURSEMNTS	00	02	AP_TYPE         		0	0	0	
APW_DISBURSEMNTS	00	03	ALT_SEQUENCE    		0	0	0	
APW_DISBURSEMNTS	00	04	VENDOR_ID       		0	0	0	
APW_DISBURSEMNTS	00	05	CHECK_NO        		0	0	0	
