Description,Type,Version 8 Alias,Version 8 Program,v6 Name,Pgm Type,Form Status,"CodePort (needs, inits)",Print Preview Tested,"DocOut (needs,inits)",DocOut Tested,Comments
Purchase Order Processing,M,,,,,,,,,,
Replenishment Selection,T,,,POE.FA/FB,entry,,,,,,
Replenishment Register,T,POR_REPLENREG,por_replenreg/por_replenreg_o1,POR.FA/FB,register,done,PPT-BP,,needs,,POR.FB
Replenishment Selection Update,U,,,POU.BA,update,,WIP PPT-BP,,,,
Purchase Requisition Entry,T,,,POE.AA/AB/AC,entry,,,,,,
Print Purchase Requisitions,T,,,POR.XA--,document print,,PPT-BP,,needs,,POR.BB
Purchase Requisition Register,T,POR_REQSNREG,por_reqsnreg/por_reqsnreg_o1,POR.AA/AB,register,done,PPT-BP,,needs,,POR.AB
Purchase Requisition Register Update,U,,,POU.AA,update,,WIP PPT-BP,,,,
Purchase Order Entry,T,,,POE.BA/BB/BC,entry,,,,,,
Print Purchase Orders,T,,,POR.BA/BB/BC,document print,,PPT-BP,,,,POR.BB
Quality Assurance Receipt Entry,T,,,POE.CA/CB/CC/CD/CE,entry,,,,,,
Quality Assurance Receipt Register,T,POR_QARECPTREG,por_qarecptreg/por_qarecptreg_o1,POR.CA/CB,register,wip,PPT-BP,,needs,,POR.CB
Quality Assurance Receipt Register Update,U,,,POU.CA,update,,WIP PPT-BP,,,,
Purchase Order Receipt Entry,T,,,POE.DA/DB/DC/DD/DE,entry,,,,,,
Purchase Order Receipt Register,T,POR_RECPTREG,por_recptreg/por_recptreg_o1,POR.DA/DB/DC/DD,register,done,PPT-BP,,needs,,POR.DB
Purchase Order Receipt Register Update,U,,,POU.DA,update,,WIP PPT-BP,,,,
Purchase Order Invoice Entry,T,,,POE.EA/EB/EC/ED/EE/EF,entry,,,,,,
Purchase Order Invoice Register,T,POR_INVREG,por_invreg/por_invreg_o1,POR.EA/EB,register,done,PPT-BP,,needs,,POR.EB
Purchase Order Invoice Entry Register Update,U,,,POU.EA,update,,WIP PPT-BP,,,,
,,,, , ,, ,,,,
Reports,G,,,,,,,,,,
Open Purchase Requisition Report,T,POR_OPENREQSN,por_openreqsn/por_openreqsn_o1,POR.GA/GB,report,done,PPT-BP,,needs,,CLT   
Requisitions By Item Report,T,POR_REQBYITEM,por_reqbyitem/por_reqbyitem_o1,POR.HA/HB,report,done,PPT-BP,done,needs,,CLT   
