Description,Menu ID,Type,Alias,Program,AON Equiv.,Who,Comp,CodePort,DocOut,Comments
Purge Finance Charge Entries,ARU_FINANCEPURGE,A,,aru_financepurge.aon,,JL,P
Finance Charge Register,ARR_OTHERENTRY,A,,arr_otherentry.aon,ARR.JA,JL,Y
Customer Statements,ARR_STATEMENTS,T,ARR_STATEMENTS,,ARR.CA,JL,P
Monthly Cash Receipts Journal,ARR_CASHJOURNAL,T,ARR_CASHJOURNAL,,ARR.GA,JL,Y,,
Monthly Cash Receipts Journal Purge,ARU_CASHJOURNAL,T,ARU_CASHJOURNAL,,ARU.XA,JL,P,,Y
Customer Ranking Report,ARR_RANKING,T,ARR_RANKING,,ARR.KA,SV,Y,,
Zero Balance Invoice Report & Purge,ARR_ZEROBALANCE,T,ARR_ZEROBALANCE,,ARR.8A,JL,P,,Y
Period End Update,ARU_PERIODEND,A,ARU_PERIODEND,aru_periodend.aon,ARU.BA,JL,P,,
Maintenance,ARMENU_MAINT,G,,,,,,,
Customers,ARM_CUSTMAST,T,ARM_CUSTMAST,,ARM.MA,CH,Y,,
Customer Types,ARC_CUSTTYPE,T,ARC_CUSTTYPE,,ARM.LA,SV,Y,,
Salespersons,ARC_SALECODE,T,ARC_SALECODE,,ARM.FA,SV,Y,,
Terms Codes,ARC_TERMCODE,T,ARC_TERMCODE,,ARM.AA,SV,Y,,
Territory Codes,ARC_TERRCODE,T,ARC_TERRCODE,,ARM.HA,SV,Y,,
Cash Receipt Codes,ARC_CASHCODE,T,ARC_CASHCODE,,ARM.CA,SV,Y,,
Distribution Codes,ARC_DISTCODE,T,ARC_DISTCODE,,ARM.DA,SV,Y,,
Cycle Codes,ARM_CYCLECOD,T,ARM_CYCLECOD,,v7,,,,
Parameters,ARMENU_PARAMS,G,ARS_PARAMS,,,,,,
Application Parameters,ARS_PARAMS,T,ARS_PARAMS,,ARP.AA,CH,Y,,
Report Parameters,ARS_REPORT,T,ARS_REPORT,,ARP.AA,CH,Y,,
New Customer Defaults,ARS_CUSTDFLT,T,ARS_CUSTDFLT,,ARP.AA,CH,Y,,
Utilities,ARMENU_UTILITIES,G,,,,,,,
Conversion Invoice Entry,ARE_CNVINV,T,ARE_CNVINV,,ARE.BA,CH,Y,,
Conversion Invoice Register,ARR_CONVREGISTER,A,ARR_CONVREGISTER,arr_otherentry.aon,ARR.JA,JL,P,,Y
Invoice Date Modification Entry,ARE_DATECHANGE,T,ARE_DATECHANGE,,ARE.EA,SV,P,,
Invoice Date Modification Register,ARR_DATEREGISTER,A,ARR_DATEREGISTER,arr_dateregister.aon,ARR.PA,JL,P,,Y
Change Sales Analysis Flag,ARX_CHANGESAFLAG,T,ARX_CHANGESAFLAG,,v7,,,,
General Ledger,GLMENU,M,,,,,,,
Journal Entry,GLE_JRNLHDR,T,GLE_JRNLHDR,,GLE.CA,SV,P,,
Journal Entry Register,GLR_JOURNAL,A,,glr_journal.aon,GLR.MA,JL,P,,Y
Daily Detail Register,GLR_DAILYDETAIL,T,GLR_DAILYDETAIL,,GLR.DA,JL,P,,Y
Account Allocation Entry,GLE_ALLOCHDR,T,GLE_ALLOCHDR,,GLE.EA,SV,P,,
Account Allocation Register,GLR_ALLOCATE,T,GLR_ALLOCATE,,GLR.QA,JL,P,,Y
Bank Reconciliation,GLM_BANKMASTER,T,GLM_BANKMASTER,,APM.EA,SV,P,,
Reports,GLMENU_REPORTS,G,,,,,,,
Chart Of Accounts Listing,GLR_ACCTLIST,T,GLR_ACCTLIST,,GLR.KA,SV,Y,,
Daily Detail Register,GLR_DAILYDETAIL_RP,T,GLR_DAILYDETAIL,,GLR.DA,JL,P,,Y
Transaction History Report,GLR_TRANSHISTORY,T,GLR_TRANSHISTORY,,GLR.CA,SV,P,,
Summary Activity Report,GLR_SUMMARY,T,GLR_SUMMARY,,GLR.IA,JL,P,,Y
General Ledger Trial Balance,GLR_TRIALBALANCE,T,GLR_TRIALBALANCE,,GLR.BA,JL?,P,Y,Y
Profit and Loss Statement,GLR_PROFITLOSS,T,GLR_PROFITLOSS,,GLR.PA,SV,P,,
Balance Sheet,GLR_BALANCE,T,GLR_BALANCE,,GLR.EA,JL,P,,Y
Financial Report Printing,GLR_FINANCIALSRP,T,GLR_FINANCIALS,,GLE.AA,JL?,P,Y,Y
13 Period Financial Report Printing,GLR_13PERIODRP,T,GLR_13PERIOD,,GLE.BA,JL?,P,Y,Y
Budgeting,GLMENU_BUDGETS,G,,,,,,,
Revision Codes,GLM_BUDGETMASTER,T,GLM_BUDGETMASTER,,GLM.MA,,P,,
Create Budget Revision,GLU_CREATEBUDGET,T,GLU_CREATEBUDGET,,GLU.FA,,P,,
Budget Revision Maintenance,GLM_EA,T,,glm_ea.aon,GLM.EA,,,,
Budget Revision Report,GLR_BUDGETREPORT,T,GLR_BUDGETREPORT,,GLR.LA,JL,P,,
Budget Revision Register,GLR_BUDGETUPDATE,T,GLR_BUDGETUPDATE,,GLR.RA,JL,P,,
Custom Financials,GLMENU_CUSTOM,G,,,,,,,
Financial Report Master,GLM_FINMASTER,T,GLM_FINMASTER,,GLM.DA,,P,,,New - Detail FS Setup (GLM_FINDETAIL) - runs from GLM_FINMASTER
Report Heading,GLM_FINHEADING,T,GLM_FINHEADING,,GLM.KA,,,Y,,
Reports by Account,GLM_FA,T,,glm_fa.aon,GLM.FA,,,,,
Acct/Report Cross Reference Report,GLR_ACCTXREF,A,,glr_acctxref.aon,GLR.GA,JL?,P,,,
Total/Report Cross Reference Report,GLR_TOTALSREPORT,A,,glr_totalsreport.aon,GLR.OA,JL?,P,,,
